release_date,budget
7/15/2010,160000000
11/5/2014,165000000
7/16/2008,185000000
12/15/2009,237000000
4/25/2012,220000000
2/9/2016,58000000
4/25/2018,300000000
10/15/1999,63000000
7/30/2014,170000000
9/10/1994,8500000
6/23/1994,55000000
11/16/2001,125000000
4/30/2008,140000000
12/25/2012,100000000
9/23/1994,25000000
4/24/2019,356000000
3/30/1999,63000000
11/18/1997,200000000
10/1/2019,55000000
12/18/2001,93000000
12/1/2003,94000000
2/14/2010,80000000
12/25/2013,100000000
4/22/2015,365000000
4/27/2016,250000000
7/17/2012,250000000
4/18/2013,200000000
2/13/2018,200000000
10/25/2016,180000000
5/13/2015,150000000
8/19/2009,70000000
3/12/2012,75000000
7/5/2017,175000000
11/13/2002,100000000
4/19/2017,200000000
12/18/2002,79000000
7/22/2011,140000000
8/3/2016,175000000
5/31/2004,130000000
4/21/2011,150000000
4/28/2010,200000000
6/10/2005,150000000
10/2/2017,180000000
6/9/2015,175000000
6/6/2015,150000000
9/22/1995,33000000
11/16/2005,150000000
7/9/2003,140000000
7/12/2011,125000000
5/25/1977,11000000
5/30/2017,149000000
5/28/2009,175000000
7/14/2015,130000000
3/14/1972,6000000
9/30/2015,108000000
7/3/1985,19000000
12/15/2015,245000000
12/15/2021,200000000
7/8/2007,150000000
7/15/2009,250000000
2/28/2017,97000000
5/30/2003,94000000
9/6/2017,40000000
10/22/2014,20000000
11/16/2016,180000000
11/17/2010,250000000
10/27/2017,175000000
3/20/2014,170000000
5/1/2002,139000000
6/22/2008,180000000
10/1/2014,61000000
12/12/2012,250000000
11/1/2001,115000000
10/30/1995,30000000
12/25/2015,135000000
3/23/2016,250000000
6/24/1994,45000000
5/4/2000,103000000
6/4/1998,60000000
10/27/2004,92000000
11/10/2016,47000000
5/30/2019,11363000
10/30/2013,170000000
6/23/2012,215000000
1/19/2017,9000000
5/10/2018,110000000
5/23/1980,19000000
10/10/2003,30000000
11/15/2013,130000000
11/2/2011,13000000
2/24/2017,4500000
11/14/2014,14000000
10/24/2018,52000000
12/10/1999,60000000
9/10/2014,34000000
6/2/2009,35000000
5/20/1980,18000000
5/18/2001,60000000
6/28/2007,150000000
12/13/2014,81000000
11/29/2016,30000000
11/20/2013,150000000
7/19/2017,150000000
2/11/2016,150000000
7/25/2014,40000000
6/11/1993,63000000
2/14/1991,19000000
7/20/2001,19000000
3/16/2017,160000000
7/6/2006,200000000
10/24/2014,165000000
5/29/2013,75000000
11/19/2014,125000000
9/28/2018,116000000
10/19/2006,40000000
12/12/2007,150000000
7/24/1998,70000000
3/6/2019,152000000
6/28/2017,34000000
12/15/1993,22000000
5/25/1983,32350000
6/28/2019,160000000
10/24/2012,200000000
10/3/2013,105000000
5/15/2014,250000000
3/28/2018,175000000
6/20/2013,200000000
12/16/2002,52000000
12/14/2016,200000000
12/13/2017,200000000
6/12/2013,225000000
7/8/2010,69000000
6/25/2004,200000000
12/6/2018,90000000
7/13/2005,150000000
10/10/2014,3300000
10/4/2006,90000000
2/26/2014,30000000
6/16/2010,200000000
10/11/2000,9000000
3/19/2004,20000000
9/14/1994,16000000
12/3/2010,13000000
2/23/2006,54000000
5/19/1999,115000000
12/18/2013,23000000
5/19/2007,300000000
12/10/2014,250000000
9/2/1992,1200000
12/25/2015,44000000
5/25/1979,11000000
12/23/2009,90000000
3/3/2010,200000000
5/15/2011,379000000
5/1/2007,258000000
4/3/2018,17000000
12/7/2018,160000000
4/16/2004,30000000
6/8/2006,120000000
10/30/1999,90000000
7/2/1997,90000000
5/27/2014,178000000
3/7/2007,65000000
12/9/2017,90000000
6/25/1982,28000000
5/17/2005,113000000
10/7/2016,40000000
11/20/2008,37000000
6/21/2012,185000000
7/4/2018,140000000
5/28/2014,180000000
12/21/2016,110000000
11/20/2012,120000000
1/21/2015,15000000
4/16/2014,200000000
10/4/2017,150000000
3/10/2002,59000000
5/15/2002,120000000
11/15/2017,300000000
12/11/2013,250000000
7/24/2019,95000000
12/20/1997,20000000
5/18/2016,178000000
10/17/2014,18000000
3/14/2014,85000000
12/25/2014,58800000
3/18/2010,165000000
6/14/2018,200000000
12/7/1990,20000000
2/8/2017,40000000
6/1/2011,160000000
12/19/1971,2200000
12/25/2008,150000000
10/26/1984,6400000
11/22/1989,40000000
7/3/1991,102000000
9/12/1990,25000000
9/15/2011,15000000
7/11/2013,180000000
11/18/2015,160000000
11/1/2012,165000000
10/24/2001,6000000
6/29/2012,50000000
5/9/2013,105000000
10/13/2016,150000000
12/1/2017,19500000
6/12/1981,18000000
10/7/2009,23600000
6/16/2016,200000000
6/1/2016,20000000
12/25/2019,100000000
9/1/2017,4000000
11/16/2012,21000000
5/19/2004,150000000
10/10/2009,200000000
12/20/1974,13000000
9/15/1999,15000000
5/30/2012,130000000
10/1/2010,40000000
5/23/2017,230000000
11/27/2019,40000000
12/5/1997,10000000
2/11/2015,40000000
6/29/2006,35000000
2/9/1976,1900000
